plantSp,animalSp,meanPIE,maxPIE,n_methods
Rubus ulmifolius,Curruca iberiae,3.9379737524400404e-4,3.3500768339694603e-4,3
Chamaerops humilis,Sus scrofa,5.648094097088711e-4,3.229428494206076e-4,1
Pyrus bourgaeana,Meles meles,5.648094097088711e-4,3.229428494206076e-4,1
Ruscus aculeatus,Cyanopica cooki,5.648094097088711e-4,3.229428494206076e-4,1
Juniperus phoenicea,Curruca melanocephala,3.1493352331191213e-4,2.95554523387194e-4,2
Rubus ulmifolius,Luscinia megarhynchos,3.133500785483486e-4,2.9318428197363e-4,3
Rubia peregrina,Curruca communis,5.084221707127567e-4,2.9070214075084197e-4,1
Arbutus unedo,Sylvia atricapilla,2.7372244592613186e-4,2.906478862978849e-4,2
Chamaerops humilis,Meles meles,5.083272826370375e-4,2.906478862978849e-4,1
Corema album,Meles meles,5.083272826370375e-4,2.906478862978849e-4,1
Juniperus macrocarpa,Oryctolagus cuniculus,5.083272826370375e-4,2.906478862978849e-4,1
Myrtus communis,Turdus iliacus,5.083272826370375e-4,2.906478862978849e-4,1
Rhamnus lycioides,Erithacus rubecula,4.947404962949994e-4,2.82879326815088e-4,1
Lonicera periclymenum,Sylvia borin,4.2585175332288485e-4,2.771046184784651e-4,2
Dioscorea communis,Cyanopica cooki,4.787755775552497e-4,2.7375101510505336e-4,1
Frangula alnus,Saxicola rubicola,4.693104920022629e-4,2.683391334225812e-4,1
Rubia peregrina,Turdus merula,2.3864351043370266e-4,2.683391334225812e-4,2
Rubus ulmifolius,Sturnus vulgaris,4.693104920022629e-4,2.683391334225812e-4,1
Arbutus unedo,Cyanopica cooki,4.518451555652039e-4,2.583529231751622e-4,1
Asparagus acutifolius,Curruca melanocephala,2.966675687359727e-4,2.555011734916038e-4,2
Crataegus monogyna,Turdus philomelos,3.872856810477763e-4,2.512557625477095e-4,2
Olea europaea,Coccothraustes coccothraustes,2.7837789214110346e-4,2.512557625477095e-4,2
Olea europaea,Coloeus monedula,4.3943260916019046e-4,2.512557625477095e-4,1
Olea europaea,Fringilla coelebs,2.2011068314480302e-4,2.512557625477095e-4,3
Phillyrea angustifolia,Turdus philomelos,2.2869805399738753e-4,2.43273576156394e-4,2
Daphne gnidium,Curruca iberiae,3.9898063638016347e-4,2.2812641107142946e-4,1
Rhamnus lycioides,Curruca iberiae,2.7272612113108063e-4,2.2812641107142946e-4,2
Arbutus unedo,Turdus pilaris,3.953689589981027e-4,2.2606135095574925e-4,1
Corema album,Bos taurus,3.953689589981027e-4,2.2606135095574925e-4,1
Osyris lanceolata,Cervus elaphus,2.1724031885429824e-4,2.2606135095574925e-4,2
Pyrus bourgaeana,Dama dama,3.953689589981027e-4,2.2606135095574925e-4,1
Juniperus phoenicea,Alectoris rufa,3.910930650860078e-4,2.2361650966936926e-4,1
Rubia peregrina,Cyanopica cooki,3.910930650860078e-4,2.2361650966936926e-4,1
Vitis vinifera,Cyanopica cooki,3.910930650860078e-4,2.2361650966936926e-4,1
Crataegus monogyna,Sylvia atricapilla,2.671633076920445e-4,2.217650764622077e-4,2
Osyris lanceolata,Vulpes vulpes,3.8131366278220123e-4,2.180249101114766e-4,1
Juniperus phoenicea,Cyanopica cooki,2.3247578551195683e-4,0.00020125350234110841,2
Corema album,Saxicola rubicola,3.388868319262692e-4,1.9376638783302655e-4,1
Juniperus macrocarpa,Meles meles,3.388868319262692e-4,1.9376638783302655e-4,1
Olea europaea,Vulpes vulpes,3.388868319262692e-4,1.9376638783302655e-4,1
Rubus ulmifolius,Curruca conspicillata,1.7343168039570575e-4,1.9376638783302655e-4,2
Rubus ulmifolius,Curruca hortensis,1.733486533294515e-4,1.9376638783302655e-4,3
Lonicera periclymenum,Phoenicurus phoenicurus,3.204607537225536e-4,1.8323085124941676e-4,1
Daphne gnidium,Turdus merula,2.1608980093620336e-4,1.8250180703780554e-4,2
Dioscorea communis,Sylvia borin,3.191856952050773e-4,1.8250180703780554e-4,1
Rubus ulmifolius,Erithacus rubecula,1.8202498175302274e-4,1.6972488336640493e-4,3
Olea europaea,Alectoris rufa,1.7471859992264696e-4,1.6750384169847302e-4,2
Pistacia lentiscus,Parus major,1.6967767090006626e-4,1.6750384169847302e-4,3
Pistacia lentiscus,Phylloscopus collybita,1.8359656550712142e-4,1.6750384169847302e-4,3
Pistacia lentiscus,Saxicola rubetra,2.929550727734603e-4,1.6750384169847302e-4,1
Pyrus bourgaeana,Coloeus monedula,2.929550727734603e-4,1.6750384169847302e-4,1
Pyrus bourgaeana,Corvus corax,2.929550727734603e-4,1.6750384169847302e-4,1
Pyrus bourgaeana,Sylvia atricapilla,2.103134893267991e-4,1.6750384169847302e-4,2
Arbutus unedo,Curruca melanocephala,2.8240470485443555e-4,1.614714247103038e-4,1
Juniperus macrocarpa,Turdus merula,2.8240470485443555e-4,1.614714247103038e-4,1
Rubus ulmifolius,Phoenicurus ochruros,2.8240470485443555e-4,1.614714247103038e-4,1
Rubus ulmifolius,Vulpes vulpes,2.8240470485443555e-4,1.614714247103038e-4,1
Frangula alnus,Oriolus oriolus,2.6203342109847705e-4,1.4982367184107316e-4,1
Rhamnus lycioides,Ficedula hypoleuca,2.5534974226500834e-4,1.4600212381090638e-4,1
Ficus carica,Oriolus oriolus,2.5029695223296273e-4,1.4311307419094e-4,1
Lonicera periclymenum,Sylvia atricapilla,2.4298463989785447e-4,1.4099036871899288e-4,2
Ficus carica,Turdus merula,2.4337605321019605e-4,1.3915589002838044e-4,1
Asparagus spp,Chloris chloris,2.3465821125349766e-4,1.3417126216294547e-4,1
Daphne gnidium,Chloris chloris,2.3465821125349766e-4,1.3417126216294547e-4,1
Daphne gnidium,Fringilla coelebs,2.3465821125349766e-4,1.3417126216294547e-4,1
Vitis vinifera,Oriolus oriolus,2.3465821125349766e-4,1.3417126216294547e-4,1
Arbutus unedo,Columba palumbus,2.2592257778260194e-4,1.291764615875811e-4,1
Asparagus spp,Saxicola rubicola,1.1309472524778105e-4,1.291764615875811e-4,2
Corema album,Lepus granatensis,2.2592257778260194e-4,1.291764615875811e-4,1
Corema album,Sturnus unicolor,2.2592257778260194e-4,1.291764615875811e-4,1
Myrtus communis,Turdus viscivorus,2.2592257778260194e-4,1.291764615875811e-4,1
Rubus ulmifolius,Passer domesticus,2.2592257778260194e-4,1.291764615875811e-4,1
Ruscus aculeatus,Rattus/Apodemus,2.2592257778260194e-4,1.291764615875811e-4,1
Asparagus acutifolius,Erithacus rubecula,2.0746684705522412e-4,1.186239704874222e-4,1
Rhamnus lycioides,Curruca conspicillata,1.955465325430039e-4,1.1180825483468463e-4,1
Osyris alba,Sylvia borin,1.1531273401771655e-4,1.0949904968069741e-4,2
Ficus carica,Sylvia borin,1.836558705544459e-4,1.0500949369849616e-4,1
Daphne gnidium,Curruca communis,1.4495339667049107e-4,1.0037412887397264e-4,2
Olea europaea,Cyanistes caeruleus,1.160125335761454e-4,1.0037412887397264e-4,2
Phillyrea angustifolia,Curruca undata,1.714153087866735e-4,9.801066926702832e-5,1
Arbutus unedo,Alectoris rufa,1.6944045071076835e-4,9.688149846485836e-5,1
Arbutus unedo,Herpestes ichneumon,1.6944045071076835e-4,9.688149846485836e-5,1
Asparagus spp,Alectoris rufa,1.6944045071076835e-4,9.688149846485836e-5,1
Asparagus spp,Bos taurus,1.6944045071076835e-4,9.688149846485836e-5,1
